,Name,AcresBurned,Latitude,Longitude,Location,Counties,Started,Extinguished,Started Month,Burn Length,Burn Length(h)
0,Rim Fire,257314,37.857,-120.086,3 miles east of Groveland along Hwy 120,Tuolumne,2013-08-17 15:25:00+00:00,2013-09-06 18:30:00+00:00,8,20 days 03:05:00,483.0833333
1,Powerhouse Fire,30274,34.585595,-118.423176,Angeles National Forest,Los Angeles,2013-05-30 15:28:00+00:00,2013-06-08 18:30:00+00:00,5,9 days 03:02:00,219.0333333
2,Mountain Fire,27531,33.7095,-116.72885,Hwy 243 & Hwy 74 near Mountain Center,Riverside,2013-07-15 13:43:00+00:00,2013-07-30 18:00:00+00:00,7,15 days 04:17:00,364.2833333
3,American Fire,27440,39.12,-120.65,"Deadwood Ridge, northeast of Foresthill",Placer,2013-08-10 16:30:00+00:00,2013-08-30 08:00:00+00:00,8,19 days 15:30:00,471.5
4,Springs Fire,24251,0,0,"Southbound Highway 101 at Camarillo Springs Road, Camarillo",Ventura,2013-05-02 07:01:00+00:00,2013-05-11 06:30:00+00:00,5,8 days 23:29:00,215.4833333
5,Aspen Fire,22992,37.279,-119.318,Seven miles north of Big Creek,Fresno,2013-07-22 22:15:00+00:00,2013-09-24 20:15:00+00:00,7,63 days 22:00:00,1534
6,Silver Fire,20292,33.86157,-116.90427,"Poppet Flats Rd near Hwy 243, south of Banning",Riverside,2013-08-07 14:05:00+00:00,2013-08-12 18:00:00+00:00,8,5 days 03:55:00,123.9166667
7,Salmon River Complex,14754,41.32,-123.176,"North Fork of the Salmon River, West of Sawyers Bar, Klamath National Forest",Siskiyou,2013-07-31 22:00:00+00:00,2013-08-31 06:45:00+00:00,7,30 days 08:45:00,728.75
8,Corral Complex,12503,41.035,-123.488,Tish Tang Ridge east of Hoopa Valley Reservation,Humboldt,2013-08-10 11:40:00+00:00,2013-08-12 12:00:00+00:00,8,2 days 00:20:00,48.33333333
9,Deer Fire,11429,40.04263,-121.85397,"Near Deer Creek, 12 miles east of Los Molinos. ",Tehama,2013-08-23 14:15:00+00:00,2013-08-29 16:45:00+00:00,8,6 days 02:30:00,146.5
10,Clover Fire,8073,40.498332,-122.535496,"Community of Igo, 10 miles southwest of Redding",Shasta,2013-09-09 12:32:00+00:00,2013-09-15 07:30:00+00:00,9,5 days 18:58:00,138.9666667
11,Chariot Fire,7055,32.95435,-116.47381,"off Sunrise Hwy, 9 miles southeast of Julian",San Diego,2013-07-06 12:55:00+00:00,2013-07-15 06:15:00+00:00,7,8 days 17:20:00,209.3333333
12,Panther Fire,6965,40.190062,-121.595555,"140K3 Line, 8 miles northwest of Butte Meadows",Tehama,2013-05-01 09:12:00+00:00,2013-05-09 09:00:00+00:00,5,7 days 23:48:00,191.8
